0,1,2,3,4,5,6,7,8,9,10,11,12,13
N. científico,Reino,División,Clase,Órden,Familia,Género,Especie,N. común,N. inglés,Título,CC,Otros nombres,Garrigues
Accipiter bicolor,Animalia,Chordata,Aves,Accipitriformes,Accipitridae ,Accipiter,bicolor,Gavilán Bicolor,Bicolored Hawk,"Accipiter bicolor, Bicolored Hawk, Gavilán Bicolor",,,100
Accipiter poliogaster,Animalia,Chordata,Aves,Accipitriformes,Accipitridae ,Accipiter,poliogaster,Gavilán Vientrigris,Gray-bellied Hawk,"Accipiter poliogaster, Gray-bellied Hawk, Gavilán Vientrigris",,,100
Aegolius ridgwayi,Animalia,Chordata,Aves,Accipitriformes,Strigidae ,Aegolius,ridgwayi,Lechucita Parda,Unspotted Saw-whet Owl,"Aegolius ridgwayi, Unspotted Saw-whet Owl, Lechucita Parda",,,122
Amaurolimnas concolor,Animalia,Chordata,Aves,Gruiformes,Rallidae ,Amaurolimnas,concolor,Rascón Café,Uniform Crake,"Amaurolimnas concolor, Uniform Crake, Rascón Café",,,86
Amazilia amabilis,Animalia,Chordata,Aves,Apodiformes,Trochilidae ,Amazilia,amabilis,Amazilia Pechiazul,Blue-chested Hummingbird,"Amazilia amabilis, Blue-chested Hummingbird, Amazilia Pechiazul",,,144
Amazona autumnalis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae ,Amazona,autumnalis,Loro Frentirrojo,Red-lored Parrot,"Amazona autumnalis, Red-lored Parrot, Loro Frentirrojo",,,172
Anous minutus,Animalia,Chordata,Aves,Charadriiformes,Laridae ,Anous,minutus,Tiñosa Negra ,Black Noddy,"Anous minutus, Black Noddy, Tiñosa Negra ",,Charrán Negro Pequeño,368
Antrostomus carolinensis,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae ,Antrostomus,carolinensis,Chotacabras de Paso,Chuck-will's-widow,"Antrostomus carolinensis, Chuck-will's-widow, Chotacabras de Paso",,,126
Antrostomus rufus,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae ,Antrostomus,rufus,Chotacabras Rojizo,Rufous Nightjar,"Antrostomus rufus, Rufous Nightjar, Chotacabras Rojizo",,,126
Antrostomus vociferus,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae ,Antrostomus,vociferus,Chotacabras Norteño,Eastern Whip-poor-will,"Antrostomus vociferus, Eastern Whip-poor-will, Chotacabras Norteño",,,126
Aphanotriccus capitalis,Animalia,Chordata,Aves,Passeriformes,Tyrannidae ,Aphanotriccus,capitalis,Mosquerito Pechileonado,Tawny-chested Flycatcher,"Aphanotriccus capitalis, Tawny-chested Flycatcher, Mosquerito Pechileonado",,,236
Aramides axillaris,Animalia,Chordata,Aves,Gruiformes,Rallidae ,Aramides,axillaris,Rascón Cuellirrufo,Rufous-necked Wood-Rail,"Aramides axillaris, Rufous-necked Wood-Rail, Rascón Cuellirrufo",,,90
Ardea alba,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae ,Ardea,alba,Garceta Grande,Great Egret,"Ardea alba, Great Egret, Garceta Grande",,Garza Real,60
Arremon costaricensis,Animalia,Chordata,Aves,Passeriformes,Emberizidae ,Arremon,costaricensis,Saltón Costarricense,Costa Rican Brushfinch ,"Arremon costaricensis, Costa Rican Brushfinch , Saltón Costarricense",,,334
Aythya affinis,Animalia,Chordata,Aves,Anseriformes,Anatidae ,Aythya,affinis,Porrón Menor,Lesser Scaup,"Aythya affinis, Lesser Scaup, Porrón Menor",,,32
Aythya americana,Animalia,Chordata,Aves,Anseriformes,Anatidae ,Aythya,americana,Porrón Americano,Redhead,"Aythya americana, Redhead, Porrón Americano",,,373
Aythya collaris,Animalia,Chordata,Aves,Anseriformes,Anatidae ,Aythya,collaris,Porrón Collarejo,Ring-necked Duck,"Aythya collaris, Ring-necked Duck, Porrón Collarejo",,,32
Bartramia longicauda,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae ,Bartramia,longicauda,Pradero ,Upland Sandpiper,"Bartramia longicauda, Upland Sandpiper, Pradero ",,Gansa,76
Bolborhynchus lineola,Animalia,Chordata,Aves,Psittaciformes,Psittacidae ,Bolborhynchus,lineola,Perico Listado,Barred Parakeet,"Bolborhynchus lineola, Barred Parakeet, Perico Listado",,,170
Busarellus nigricollis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae ,Busarellus,nigricollis,Gavilán de Ciénega,Black-collared Hawk,"Busarellus nigricollis, Black-collared Hawk, Gavilán de Ciénega",,Gavilán Pescador,94
Buteo nitidus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae ,Buteo,nitidus,Gavilán Gris Rayado ,Gray-lined Hawk,"Buteo nitidus, Gray-lined Hawk, Gavilán Gris Rayado ",,Gavilán Pollero,104
Buteogallus solitarius,Animalia,Chordata,Aves,Accipitriformes,Accipitridae ,Buteogallus,solitarius,Águila Solitaria,Solitary Eagle,"Buteogallus solitarius, Solitary Eagle, Águila Solitaria",,,106
Butorides striata,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae ,Butorides,striata,Garcilla Cuelligrís,Striated Heron,"Butorides striata, Striated Heron, Garcilla Cuelligrís",,"Chocuaco, Martín Peña",58
Calidris alba,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae ,Calidris,alba,Playero Arenero,Sanderling,"Calidris alba, Sanderling, Playero Arenero",,,78
Calidris bairdii,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae ,Calidris,bairdii,Correlimos de Baird ,Baird's Sandpiper,"Calidris bairdii, Baird's Sandpiper, Correlimos de Baird ",,"Patudo, Becacina",80
Calidris pusilla,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae ,Calidris,pusilla,Correlimos Semipalmado,Semipalmated Sandpiper,"Calidris pusilla, Semipalmated Sandpiper, Correlimos Semipalmado",,,78
Calidris virgata,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae ,Calidris,virgata,Chorlito de Rompientes,Surfbird,"Calidris virgata, Surfbird, Chorlito de Rompientes",,,76
Calocitta formosa,Animalia,Chordata,Aves,Passeriformes,Corvidae ,Calocitta,formosa,Urraca Copetona ,White-throated Magpie-Jay,"Calocitta formosa, White-throated Magpie-Jay, Urraca Copetona ",,"Urraca, Piapia Azul ",264
Campephilus guatemalensis,Animalia,Chordata,Aves,Piciformes,Picidae ,Campephilus,guatemalensis,Carpintero Picoplata ,Pale-billed Woodpecker,"Campephilus guatemalensis, Pale-billed Woodpecker, Carpintero Picoplata ",,"Dos Golpes, Carpintero Chiricano",198
Capsiempis flaveola,Animalia,Chordata,Aves,Passeriformes,Tyrannidae ,Capsiempis,flaveola,Mosquerito Amarillo,Yellow Tyrannulet,"Capsiempis flaveola, Yellow Tyrannulet, Mosquerito Amarillo",,,226
Catharus aurantiirostris,Animalia,Chordata,Aves,Passeriformes,Turdidae ,Catharus,aurantiirostris,Zorzal Piquianaranjado ,Orange-billed Nightingale-Thrush,"Catharus aurantiirostris, Orange-billed Nightingale-Thrush, Zorzal Piquianaranjado ",,"Jilguerillo de Charral, Inglesito",266
Catharus frantzii,Animalia,Chordata,Aves,Passeriformes,Turdidae ,Catharus,frantzii,Zorzal Gorrirojizo ,Ruddy-capped Nightingale-Thrush,"Catharus frantzii, Ruddy-capped Nightingale-Thrush, Zorzal Gorrirojizo ",,"Jilguerillo de Montaña, Jilguerillo de Ronda",266
Catharus mexicanus,Animalia,Chordata,Aves,Passeriformes,Turdidae ,Catharus,mexicanus,Zorzal Cabecinegro,Black-headed Nightingale-Thrush,"Catharus mexicanus, Black-headed Nightingale-Thrush, Zorzal Cabecinegro",,,266
Chaetura cinereiventris,Animalia,Chordata,Aves,Apodiformes,Apodidae ,Chaetura,cinereiventris,Vencejo Lomigrís,Gray-rumped Swift,"Chaetura cinereiventris, Gray-rumped Swift, Vencejo Lomigrís",,,132
Charadrius collaris,Animalia,Chordata,Aves,Charadriiformes,Charadriidae ,Charadrius,collaris,Chorlitejo Collarejo ,Collared Plover,"Charadrius collaris, Collared Plover, Chorlitejo Collarejo ",,Turillo,70
Chlidonias niger,Animalia,Chordata,Aves,Charadriiformes,Laridae ,Chlidonias,niger,Charrancito Negro,Black Tern,"Chlidonias niger, Black Tern, Charrancito Negro",,,52
Chloroceryle americana,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae ,Chloroceryle,americana,Martín Pescador Verde,Green Kingfisher,"Chloroceryle americana, Green Kingfisher, Martín Pescador Verde",,,186
Chlorostilbon assimilis,Animalia,Chordata,Aves,Apodiformes,Trochilidae ,Chlorostilbon,assimilis,Colibrí Esmeralda Jardinero,Garden Emerald,"Chlorostilbon assimilis, Garden Emerald, Colibrí Esmeralda Jardinero",,,146
Chordeiles minor,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae ,Chordeiles,minor,Añapero Zumbón,Common Nighthawk,"Chordeiles minor, Common Nighthawk, Añapero Zumbón",,,128
Chroicocephalus philadelphia,Animalia,Chordata,Aves,Charadriiformes,Laridae ,Chroicocephalus,philadelphia,Gaviota de Bonaparte,Bonaparte’s Gull,"Chroicocephalus philadelphia, Bonaparte’s Gull, Gaviota de Bonaparte",,,378
Cinclus mexicanus,Animalia,Chordata,Aves,Passeriformes,Cinclidae ,Cinclus,mexicanus,Mirlo Acuático Plomizo,American Dipper,"Cinclus mexicanus, American Dipper, Mirlo Acuático Plomizo",,,270
Circus cyaneus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae ,Circus,cyaneus,Aguilucho Norteño,Northern Harrier,"Circus cyaneus, Northern Harrier, Aguilucho Norteño",,,94
Claravis pretiosa,Animalia,Chordata,Aves,Columbiformes,Columbidae ,Claravis,pretiosa,Tortolita Azulada,Blue Ground-Dove,"Claravis pretiosa, Blue Ground-Dove, Tortolita Azulada",,,164
Clibanornis rubiginosus,Animalia,Chordata,Aves,Passeriformes,Furnariidae ,Clibanornis,rubiginosus,Hojarrasquero Rojizo,Ruddy Foliage-gleaner,"Clibanornis rubiginosus, Ruddy Foliage-gleaner, Hojarrasquero Rojizo",,,
Coccyzus americanus,Animalia,Chordata,Aves,Cuculiformes,Cuculidae ,Coccyzus,americanus,Cuclillo Piquigualdo,Yellow-billed Cuckoo,"Coccyzus americanus, Yellow-billed Cuckoo, Cuclillo Piquigualdo",,,174
Coccyzus minor,Animalia,Chordata,Aves,Cuculiformes,Cuculidae ,Coccyzus,minor,Cuclillo de Antifaz,Mangrove Cuckoo,"Coccyzus minor, Mangrove Cuckoo, Cuclillo de Antifaz",,,174
Colaptes rubiginosus,Animalia,Chordata,Aves,Piciformes,Picidae ,Colaptes,rubiginosus,Carpintero Verde Dorado,Golden-olive Woodpecker,"Colaptes rubiginosus, Golden-olive Woodpecker, Carpintero Verde Dorado",,,196
